archive_relative_path,anchor_id,anchor_role,city,climate_role,scenario,scenario_label,time_slice,selector_role,weather_year,epw_hour_records,size_bytes,sha256,data_sha256,gcm,rcm,reference_period,delta_mode,cmip6_member,native_grid,source_dataset_version,source_dataset_doi,source_dataset_license
weather/files/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_typical_2026.epw,phoenix_ssp245_present_typical,present_typical,Phoenix,hot-dry/desert,ssp245,SSP2-4.5,baseline_2020s,typical,2026,8760,1361545,3da444e057a0d6749af7508d999b8790a4cbd1a6650280ab611fbbd793f6d53e,5b7f2c881e01fe46cf784e7a843b60f5e7447539393e269719b792b9501ad621,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Phoenix/phoenix_ssp245_late_2080s_heatwave_extreme_2086.epw,phoenix_ssp245_future_extreme,future_extreme,Phoenix,hot-dry/desert,ssp245,SSP2-4.5,late_2080s,heatwave_extreme,2086,8760,1362217,f87b95955ecfd2b6a1983be6d0a8a8064ddef92f32e1af75b5930dcedb340920,b95f5d8a97cb3d7dca82ed05f76ff8e41d6997ffd2ce9e65479a1fc9e3aaa9a1,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp585/Ahmedabad/ahmedabad_ssp585_baseline_2020s_typical_2025.epw,ahmedabad_ssp585_present_typical,present_typical,Ahmedabad,hot-dry/composite,ssp585,SSP5-8.5,baseline_2020s,typical,2025,8760,1366960,5777c13b052eb04ee4e6729346eaababdff83ba0a32985018673ee83f91a6ea1,049155beb917b95aa396b2ee4456f2a57d735fc17e9a513b518541c264cd893d,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Ahmedabad/ahmedabad_ssp585_late_2080s_heatwave_extreme_2088.epw,ahmedabad_ssp585_future_extreme,future_extreme,Ahmedabad,hot-dry/composite,ssp585,SSP5-8.5,late_2080s,heatwave_extreme,2088,8784,1371803,8a177483b17fb812235705fbad13ea733d602068d43393ab506875e3a33a6260,54dcff04b8f8dcf0003c4f69941be2d5ae5b63318642e5659ae176538fc951a1,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Beijing/beijing_ssp585_baseline_2020s_typical_2026.epw,beijing_ssp585_present_typical,present_typical,Beijing,continental_hot_summer,ssp585,SSP5-8.5,baseline_2020s,typical,2026,8760,1366125,5a40f836f1296f36c722fac82c7679cb69a127d8d3eac7f50ad76f1348a4544d,0c6303cb9b5689ce14d007489cf8ca78aacfe83a544f1c739ad6f67fd392898a,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Beijing/beijing_ssp585_late_2080s_heatwave_extreme_2089.epw,beijing_ssp585_future_extreme,future_extreme,Beijing,continental_hot_summer,ssp585,SSP5-8.5,late_2080s,heatwave_extreme,2089,8760,1364462,3554b18762c64a1d19ab0fd1515cd2184a8bd461f5b88287800880ce98da195e,b3364b0c0403bdd27f0dc6dd22e7ecd20d9bd4705963f025810db432ea565301,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Guangzhou/guangzhou_ssp585_baseline_2020s_typical_2025.epw,guangzhou_ssp585_present_typical,present_typical,Guangzhou,hot-humid/subtropical,ssp585,SSP5-8.5,baseline_2020s,typical,2025,8760,1364275,bca4c59247855b2bf48ddb08f0d4b00595e1e5c8b1809876f36e3a999ca17d3e,63682e0e4c1898b94a8c2aed4ec9cbac31b9f4a49f7ebd6948189739cb2bb9fc,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Guangzhou/guangzhou_ssp585_late_2080s_heatwave_extreme_2086.epw,guangzhou_ssp585_future_extreme,future_extreme,Guangzhou,hot-humid/subtropical,ssp585,SSP5-8.5,late_2080s,heatwave_extreme,2086,8760,1365530,ee4bba1d4bd0a04bd75302a6044fdf0b6bbd1b811a20cae20b14c8728cb6e17b,bbe77402449ca1ad211b9a4871f9eb6673bd74141992af627c86468284b1666c,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Houston/houston_ssp585_baseline_2020s_typical_2025.epw,houston_ssp585_present_typical,present_typical,Houston,hot-humid,ssp585,SSP5-8.5,baseline_2020s,typical,2025,8760,1364783,368863f1d793f98ffffe4422caeeb669dbd78def9a4ebed7d34b92a487306009,bd726b1a25a86a295efefe0abdd3737d00821f926fa519dd614827b7afe53b78,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Houston/houston_ssp585_late_2080s_heatwave_extreme_2086.epw,houston_ssp585_future_extreme,future_extreme,Houston,hot-humid,ssp585,SSP5-8.5,late_2080s,heatwave_extreme,2086,8760,1365647,7c92712736221d794d2730616a9a156411e12287e8504dfa5c348adeb58c96b6,456ac9090f099ca2729115b82f2d1299c41844e023397cc378f2f6098e18d343,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Kolkata/kolkata_ssp585_baseline_2020s_typical_2029.epw,kolkata_ssp585_present_typical,present_typical,Kolkata,hot-humid/deltaic,ssp585,SSP5-8.5,baseline_2020s,typical,2029,8760,1363915,1e05e6b55de50f35ebd54f14b07a8f3363486aa5637438bfde5ff9893272a2f8,3550d9d7c1350e979982ca94fd0e78a84f381aa2921f39fba5a34e3bf5e99c4e,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Kolkata/kolkata_ssp585_late_2080s_heatwave_extreme_2080.epw,kolkata_ssp585_future_extreme,future_extreme,Kolkata,hot-humid/deltaic,ssp585,SSP5-8.5,late_2080s,heatwave_extreme,2080,8784,1368302,bfd85083508c3216444abe68fe8a77e9c9610a55211b8bdef070c9305584ef39,c872d0260a9bd4ca16a799445ce3fccd15ac9dc280d7eef3ba658f4b6338a5b8,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Phoenix/phoenix_ssp585_baseline_2020s_typical_2029.epw,phoenix_ssp585_present_typical,present_typical,Phoenix,hot-dry/desert,ssp585,SSP5-8.5,baseline_2020s,typical,2029,8760,1361248,834dbee09d34338ff9146ddb79b0f8577a825414517a86092c2d2a3b26ef548e,6b61e1dc71fb3e88f344ccbcff1ad1f5a0ee142e85b3b0e5df4b4de10f02fd4e,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
weather/files/ssp585/Phoenix/phoenix_ssp585_late_2080s_heatwave_extreme_2085.epw,phoenix_ssp585_future_extreme,future_extreme,Phoenix,hot-dry/desert,ssp585,SSP5-8.5,late_2080s,heatwave_extreme,2085,8760,1361093,c87bca757674ef4c90d121199fccd9052a4d8638951ca9d32c0655b0b5310380,92a7c51002b75939f8663277f90d95980bccc20f1c1354af68cd20471eead7c5,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6705,CC BY 4.0
